                   MONTHLY CLIMATOLOGICAL SUMMARY for Jun 2026


NAME: Mountain Island Lake, NC                  
ELEV: 0 feet    LAT: 35-20.68 N    LONG: 080-58.48 W


                   TEMPERATURE (°F), RAIN (in), WIND SPEED (mph)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   70.8   80.6  15:51   66.7  05:06    0.0    5.8   0.00    1.3   11.9  16:29    289
 02   65.1   73.9  19:11   59.7  11:55    0.0    0.1   0.00    0.9    6.0  10:36     46
 03   67.9   87.1  18:06   54.9  06:04    0.0    2.9   0.00    1.1    6.3  16:08     31
 04   71.6   91.6  16:46   56.5  06:08    0.0    6.6   0.00    1.1    5.4  03:20     31
 05   74.4   91.9  17:17   60.3  06:03    0.0    9.4   0.00    1.3   10.1  15:11    272
 06   75.3   88.9  16:50   64.2  06:11    0.0   10.3   0.00    1.7   12.1  17:02    274
 07   76.8   89.4  16:15   66.7  06:17    0.0   11.8   0.00    1.0    7.2  12:04    285
 08   76.9   91.2  16:22   69.4  06:01    0.0   11.9   0.00    1.2    8.7  16:22    295
 09   75.1   82.9  19:34   70.7  04:30    0.0   10.1   0.00    1.2    5.8  16:33     68
 10   78.1   90.0  16:00   70.7  03:13    0.0   13.1   0.00    1.5   11.9  16:07    269
 11   82.5   97.0  17:46   72.7  05:51    0.0   17.5   0.00    1.1   10.5  17:03    273
 12   84.5   97.5  16:41   74.5  06:25    0.0   19.5   0.00    1.3   11.2  17:41    276
 13   83.6   98.4  16:52   72.9  06:39    0.0   18.6   0.00    0.9    6.5  14:07    313
 14   81.1   93.2  15:04   73.2  06:28    0.0   16.1   0.00    1.3   21.9  15:43    280
 15   78.7   93.0  17:30   71.8  09:17    0.0   13.7   0.00    1.4   11.4  12:47    310
 16   73.1   79.9  14:45   68.2  08:02    0.0    8.1   0.00    1.4    7.8  14:48    298
 17   76.3   90.7  16:46   65.5  06:22    0.0   11.3   0.00    1.6   13.4  15:06    279
 18   81.2   93.6  16:03   73.6  23:44    0.0   16.2   0.00    3.2   17.9  13:48    268
 19   77.5   90.7  17:20   69.3  05:08    0.0   12.5   0.00    1.5    9.6  16:46    307
 20   74.8   88.5  16:34   64.0  06:45    0.0    9.8   0.00    1.1    7.8  14:33    296
 21   77.9   94.3  18:08   65.5  06:47    0.0   12.9   0.00    1.1    8.7  13:08    285
 22   79.7   91.8  16:18   71.2  06:12    0.0   14.7   0.00    1.9   16.6  16:48    264
 23   79.4   89.8  16:44   71.2  23:57    0.0   14.4   0.00    2.1   13.0  13:45    306
 24   73.9   87.8  17:03   63.0  06:19    0.0    8.9   0.00    1.1    6.7  03:00    339
 25   75.2   91.2  16:23   63.3  06:15    0.0   10.2   0.00    1.2    9.6  15:51    283
 26   76.1   90.1  17:33   68.2  05:39    0.0   11.1   0.00    1.1    8.5  16:12    271
 27   77.4   93.7  15:38   71.6  23:59    0.0   12.4   0.00    1.3   11.4  15:43    266
 28   77.2   86.2  19:22   70.5  04:33    0.0   12.2   0.00    1.3    8.1  15:50    286
 29   82.7   99.5  17:46   70.7  06:20    0.0   17.7   0.00    0.9    5.4  12:58     78
 30   77.0   79.7  00:15   75.2  06:40    0.0   12.0   0.00    0.8    4.0  08:08    123
---------------------------------------------------------------------------------------
      76.7   99.5     29   54.9     03    0.0  351.7   0.00    1.3   21.9     14    287
    
